,"Author: Lukasová, Veronika",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h-index = 6 (Of the 15 documents considered for the h-index, 6 have been cited at least 6 times.)",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,<2021,2021,2022,2023,2024,Subtotal,>2024,Total
Publication Year,Document Title,ISSN,Journal Title,Volume,Issue,45,12,20,18,21,71,1,117
2024,"Significant phenological response of forest tree species to climate change in the Western Carpathians",24540358,"Central European Forestry Journal",70,2,0,0,0,0,1,1,0,1
2023,"How can the transition from conventional to automatic measurements affect the climatological normals? – A case study from an alpine meteorological observatory at Skalnaté Pleso, Slovakia",16101227,"Meteorologische Zeitschrift",32,5,0,0,0,0,0,0,0,0
2023,"Modified electrolyte leakage method for testing the oxidative stability of Pinus mugo Turra under ozone-induced stress",13387014,"Folia Oecologica",50,1,0,0,0,1,1,2,0,2
2022,"The effect of climate change on spring frosts and flowering of Crataegus laevigata – The indicator of the validity of the weather lore about “The Ice Saints”",1470160X,"Ecological Indicators",145,,0,0,0,2,4,6,0,6
2022,"Low sensitivity of Pinus mugo to surface ozone pollution in the subalpine zone of continental Europe",14321254,"International Journal of Biometeorology",66,11,0,0,0,0,0,0,0,0
2021,"Specification of modified jarvis model parameterization for pinus cembra",20734433,"Atmosphere",12,11,0,0,0,1,0,1,0,1
2021,"Regional and altitudinal aspects in summer heatwave intensification in the Western Carpathians",14344483,"Theoretical and Applied Climatology",146,3-4,0,0,3,3,2,8,0,8
2021,"Changes in the greenness of mountain pine (Pinus mugo turra) in the subalpine zone related to the winter climate",20724292,"Remote Sensing",13,9,0,0,1,0,0,1,0,1
2020,"The response of Pinus species to ozone uptake in different climate regions of Europe",24540358,"Central European Forestry Journal",66,4,0,0,0,0,0,0,0,0
2020,"Autumn phenological response of european beech to summer drought and heat",20734441,"Water (Switzerland)",12,9,0,4,2,4,7,17,0,17
2019,"Validation and application of European beech phenological metrics derived from MODIS data along an altitudinal gradient",19994907,"Forests",10,1,3,5,3,2,1,11,0,14
2014,"Host and site factors affecting tree mortality caused by the spruce bark beetle (Ips typographus) in mountainous conditions",03781127,"Forest Ecology and Management",331,,35,3,7,4,3,17,0,52
2014,"Seasonal changes in NDVI in relation to phenological phases, LAI and PAI of beech forests",20299230,"Baltic Forestry",20,2,7,0,3,1,2,6,1,14
2014,"Effect of biometeorological variables on the onset of phenophases derived from MODIS data and visual observations",13384295,"Forestry Journal",60,1,0,0,0,0,0,0,0,0
2012,"Effect of understory vegetation and undergrowth on course of phenological curve of beech forests derived from MODIS. Lesnícky èasopis - Forestry Journal",03231046,"Forestry Journal",58,4,0,0,1,0,0,1,0,1